代號,名稱,2024合計股利,2025合計股利,除權息合計殖利率,除息交易日,除權交易日
1806,冠軍,0.0,1.0,8.4,'25/07/03,
2371,大同,0.0,3.105,7.79,'25/07/08,
3481,群創,0.0,1.0,7.09,'25/05/22,
6757,台灣虎航,0.0,6.05,6.9,'25/09/18,
2614,東森,0.0,1.15,6.61,'25/07/09,'25/07/09
8011,台通,0.0,1.4,6.36,'25/06/17,
1218,泰山,0.0,1.35,6.24,'25/06/26,
6965,中傑-KY,0.0,6.0,5.91,'25/06/12,
8107,大億金茂,0.0,1.0,5.88,'25/09/18,
2816,旺旺保,0.0,1.5,5.68,'25/06/17,
8089,康全電訊,0.0,2.5,5.59,'25/08/25,'25/08/25
6219,富旺,0.0,1.2,5.57,'25/07/03,'25/07/23
7767,仁大資訊,0.0,3.0,5.1,'25/06/11,
6887,寶綠特-KY,0.0,3.963,5.02,'25/07/18,
2415,錩新,0.0,1.2,4.99,'25/07/03,
4716,大立,0.0,0.75,4.95,'25/09/18,'25/09/18
7792,安葆,0.0,9.0,4.76,'25/06/16,
6164,華興,0.0,0.5,4.59,'25/07/10,
8077,洛碁,0.0,2.0,4.35,'25/08/21,
6208,日揚,0.0,2.0,4.26,'25/06/12,
4113,聯上,0.0,0.85,3.94,'25/08/28,
4590,富田-創,0.0,3.0,3.14,'25/07/23,
1474,弘裕,0.0,0.4,3.09,'25/08/19,
8404,百和興業-KY,0.0,0.65,3.05,'25/07/24,'25/07/24
6582,申豐,0.0,1.0,2.99,'25/08/28,
3716,中化控股,0.0,1.017,2.89,'25/07/24,
1213,大飲,0.0,0.35,2.69,'25/06/26,
2032,新鋼,0.0,0.375,2.65,'25/06/27,
3673,TPK-KY,0.0,0.8,2.59,'25/07/14,
2739,寒舍,0.0,1.0,2.5,'25/07/09,
8467,波力-KY,0.0,4.058,2.43,'25/12/19,
6117,迎廣,0.0,2.172,2.27,'25/08/15,
2367,燿華,0.0,0.703,2.24,'25/08/29,
5426,振發,0.0,0.5,2.0,'25/07/29,
4558,寶緯,0.0,0.5,1.94,'25/07/10,
3447,展達,0.0,0.8,1.77,'25/06/24,
4541,晟田,0.0,0.75,1.72,'25/07/08,
1732,毛寶,0.0,0.5,1.71,'25/08/29,
1599,宏佳騰,0.0,0.507,1.68,'25/09/23,
6133,金橋,0.0,0.3,1.68,'25/09/09,
8443,阿瘦,0.0,0.2,1.66,'25/07/07,
6834,天二科技,0.0,0.5,1.55,'25/06/13,
3073,天方能源,0.0,0.65,1.54,,'25/09/09
3323,加百裕,0.0,0.5,1.49,'25/07/17,
2009,第一銅,0.0,0.5,1.46,'25/07/22,
7769,鴻勁,0.0,22.5,1.4,'25/07/24,
2342,茂矽,0.0,0.3,1.39,'25/07/31,
6114,久威,0.0,0.5,1.38,'25/07/30,
3047,訊舟,0.0,0.299,1.37,'25/09/02,
5490,同亨,0.0,0.35,1.3,'25/07/03,
2038,海光,0.0,0.2,1.29,,'25/08/28
3294,英濟,0.0,0.38,1.26,'25/04/01,
2033,佳大,0.0,0.2,1.25,'25/08/07,
4714,永捷,0.0,0.2,1.21,'25/12/03,
8096,擎亞,0.0,0.5,1.2,'25/08/26,
2101,南港,0.0,0.5,1.18,'25/03/20,
3105,穩懋,0.0,1.0,1.14,'25/06/13,
6134,萬旭,0.0,0.2,1.01,'25/06/26,
3162,精確,0.0,0.501,1.0,'25/08/14,
7749,意騰-KY,0.0,5.26,0.98,,
3605,宏致,0.0,0.721,0.98,'25/09/04,
3535,晶彩科,0.0,0.5,0.91,'25/08/15,
5498,凱崴,0.0,0.149,0.79,'25/09/18,
4968,立積,0.0,1.096,0.76,'25/08/28,
3230,錦明,0.0,0.352,0.69,'25/08/08,
6558,興能高,0.0,0.3,0.67,'25/06/24,
8104,錸寶,0.0,0.2,0.5,'25/09/16,'25/09/16
5340,建榮,0.0,0.2,0.47,'25/06/18,
6103,合邦,0.0,0.188,0.44,'25/08/26,
2926,誠品生活,0.0,0.2,0.43,'25/06/17,
6446,藥華藥,0.0,2.196,0.42,'25/08/11,'25/09/11
7717,萊德光電-KY,0.0,1.0,0.37,,
8906,花王,0.0,0.1,0.29,'25/09/25,
7722,LINEPAY,0.0,1.5,0.25,'25/09/04,
3450,聯鈞,0.0,0.5,0.23,'25/06/23,
8937,合騏*,0.0,0.1,0.06,'25/09/09,
